,action,"A few boos ring around Old Trafford as the referee blows his whistle for the final time. That's the first time that Manchester United have failed to win in four consecutive home league games since 1990, and it's a result with which they'll feel incredibly frustrated. They impressed after going behind early on and really should have kept that momentum going after the break, but they slowed down and sat back, which allowed West Ham to hold on to an important draw."
,action,FULL-TIME: MANCHESTER UNITED 1-1 WEST HAM UNITED
90'+4',substitution,"Substitution sub-out Dimitri Payet sub-in Sofiane Feghouli . West Ham have made a late alteration as they attempt to eat up some time, with Feghouli coming on to replace Payet, who was excellent al evening."
90'+3',action,"Ayew muscles his way past Darmian and cuts inside before firing a low shot towards the bottom left-hand corner of the net, but it's slightly misplaced by the Ghanaian and ends up missing its intended target by a few yards."
90'+2',action,"Rooney goes close! The captain twists and turns on the right-hand side of the penalty area before trying to tee up Ibrahimovic with a deft cross-cum-shot, but Noble sticks out a foot to deny the Swedish striker the opportunity to get a shot away."
90'+1',yellow-card,Yellow Card Luis Antonio Valencia Mosquera. Valencia becomes the latest player to be shown a yellow card for a challenge as West Ham tried to break away quickly.
90',yellow-card,"Yellow Card Aaron Cresswell. After dealing with the danger, Manchester United try to break forward on a quick counter-attack through Mkhitaryan, but the Armenian is brought down from behind by a cynical challenge from Cresswell, resulting in a yellow card for the defender."
90',action,The fourth official has indicated that there will be four minutes of added time.
89',action,"Another chance for Fletcher! West Ham keep putting pressure on Manchester United as they try to steal a late winner, but the youngster is unable to guide his close-range shot through the wall of red shirts camped in front of him and the home side are just about able to hold on."
88',yellow-card,"Yellow Card Marouane Fellaini-Bakkioui. West Ham come back once again, this time through Noble, but the captain is clumsily fouled by Fellaini just outside of the penalty area on the right flank and wins his side a free-kick. The set-piece finds the head of Kouyate but the defender is penalised for a push in the back as soon as he sends his header wide of the goal."
87',action,"What an opportunity for Fletcher to win it for West Ham! The visitors break away on a quick counter-attack through Antonio, who bursts down the right wing on a brilliant run. He beats two players before teeing up Fletcher, who muscles his way through a sea of red shirts and unleashes a shot that De Gea does well to save at his near post."
86',action,"Chance for Pogba! Valencia fires a deep cross into the West Ham penalty area and picks out Pogba in a great position, but the Frenchman is unable to pull off an audacious bicycle kick and sees his effort deflect away from goal."
85',substitution,"Substitution sub-out Jesse Lingard sub-in Marouane Fellaini-Bakkioui . Manchester United have made a late change, with Marouane Fellaini coming on to replace Lingard."
84',action,"West Ham break away quickly through Payet and Fletcher and initially look as if they're going to cause the home side plenty of problems, but they don't push forward quickly enough and, eventually, the young striker is dispossessed before he can get a shot away."
83',action,"Great defending by Kouyate! A terrible attempted header from Collins fails to find Randolph and is instead picked out by Ibrahimovic on the edge of the box, but as soon as he rounds the goalkeeper, he's dispossessed by a wonderful tackle from Kouyate."
81',action,"Another great save by Randolph! Manchester United break quickly through Rooney on the left wing before a deep cross picks out Ibrahimovic at the far-post, but the striker's first-time volley fails to beat the outstretched foot of the West Ham goalkeeper, who has performed brilliantly today."
80',action,"Almost an opportunity for West Ham! Fletcher, who has seen little of the ball since coming on to the pitch, breaks into the right-hand side of the hosts' penalty area before fizzing a low pass across the face of goal, but there's nobody there to meet it and Valencia is just about able to clear the danger."
79',action,"Manchester United quickly win back the ball before Rooney swings a deep cross over to the far post. Ibrahimovic rises high above his marker and is just about able to make contact with the ball, but he's unable to do so well enough to hit the target with his glancing effort."
78',action,"And now Pogba goes close! The Frenchman picks up the ball in a pocket of space just outside of the West Ham penalty area and quickly unleashes a low shot, but Randolph gets down low to tip it round the near post."
76',action,"Manchester United score, but it's ruled out for offside! A curling cross from Valencia finds Rooney, who rises high before nodding the ball over to Mkhitaryan at the far post. The Armenian takes a quick touch before firing a shot off the woodwork and towards Lingard, but the linesman's flag is raised as soon as the winger pokes the ball into the back of the net from close range."
75',substitution,"Substitution sub-out Manuel Lanzini sub-in André Ayew Pelé . West Ham have made their second alteration of the evening, with Lanzini making way for Andre Ayew."
74',action,"Thumping strike by Lingard! Again, Valencia causes problems over on the right wing before picking out Mkhitaryan on the edge of the box. The Armenian spins quickly and sees his shot deflected into the feet of Lingard, who immediately unleashes a rocket of volley that Randolph does well to hold on to."
73',action,"A lovely cross-field pass from Lingard finds Valencia over on the right-hand side of the West Ham box, but the Ecuadorian is unable to get the better of Cresswell and, once again, the visitors are able to keep the determined home side at bay."
71',action,"Valencia cuts inside from the right wing and pokes a pass over to Ibrahimovic, who is camped on the byline, but the striker has to settle for another corner after failing to find a teammate with his back-heeled pass. Rooney's cross this time is better and finds Jones at the near post, but the defender can only knock the ball out for a goal-kick."
69',action,"Pogba battles his way down the right flank before winning his side a corner. It's whipped in by Rooney and sent towards the edge of the penalty area, but it's overhit and fails to find a red shirt before being easily dealt with by West Ham."
