,action,"That's all from us today folks, hope you enjoyed the game!"
,action,"A fabulous curling strike from Arjen Robben and a stunning free-kick by David Alaba just before half-time gave the visitors a 2-0 lead at the break, but Kruse pulled one back for the hosts early in the second half. However Bremen couldn't grab an equalising goal and Bayern saw the game out, coming away with a hard-fought 2-1 victory."
,action,FULL-TIME: WERDER BREMEN 1-2 BAYERN MUNICH
90'+4',action,That's the full-time whistle!
90'+3',yellow-card,Yellow Card Kingsley Coman. Yellow card Kingsley Coman
90'+2',action,WHAT A SAVE! Wiedwald keeps his side in this game! Kimmich meets Sanches' pull back and Wiedwald had to use his feet to deny the Bayern man a goal which would ensure all three points go to the reigning Bundesliga champions.
90',yellow-card,Yellow Card Maximilian Eggestein. A blatant foul by Maximilian Eggestein and he rightly receives a yellow card.
90',action,There will be a minimum of three minutes added time played here.
88',action,"Looks like the centre-back Sane is now playing upfront alongside Gnabry, using himself as a target man for the long balls forward."
87',action,"Not long to go now. Bremen are starting to throw everyone forward in hope of grabbing an equalising goal, Bayern don't look overly great at the back which is giving the hosts plenty of confidence. However they haven't created a clear-cut chance since the goal by Kruse."
84',action,STAT: Lewandowski has got himself on the scoresheet in four of Bayern’s last five Bundesliga matches – three braces for a total of 7 goals. No chances to speak of for him today though!
81',substitution,Substitution sub-out Santiago García sub-in Florian Kainz . Final Bremen substitution as sub-out Santiago García comes off to be replaced by sub-in Florian Kainz.
81',action,"Renato Sanches fails to lay the ball off to a teammate on the edge of his own box and he is eventually disposed of by Gnabry who then tries his luck from long-range, but his effort is well wide and doesn't trouble Neuer."
79',substitution,Substitution sub-out Franck Bilal Ribéry sub-in Douglas Costa de Souza . Third and final Bayern substitution as Franck Ribéry jogs off to be replaced by Douglas Costa.
76',action,"The pace of the game has slowed down a lot now, Bayern are starting to get a foothold on the ball again and control proceedings after being put under pressure by the hosts for large spells recently. They only have a one-nil advantage and need to be careful here."
75',yellow-card,"Yellow Card Zlatko Junuzović. Another Bremen player to be given a yellow card by the referee, this time it is Zlatko Junuzović."
72',yellow-card,Yellow Card Santiago García. Santiago García recieves a yellow card for a bad foul on Kimmich deep in Bayern's half. He will now miss the next Bundesliga game.
71',substitution,Substitution sub-out Robert Bauer sub-in Fin Bartels . Second substitution of the game for Bremen as sub-out Robert Bauer is replaced by sub-in Fin Bartels.
70',action,Still 20 minutes to play here and there could certainly be more goals in this game. The next goal will be vital!
69',action,"Bremen are really starting to go for it now, they certainly feel like they can grab an equalising goal here as Bayern are starting to sit a bit deeper and invite Bremen onto them."
66',substitution,Substitution sub-out Arjen Robben sub-in Kingsley Coman . Another Bayern substitution with the first goalscorer sub-out Arjen Robben coming off to be replaced by sub-in Kingsley Coman.
