,action,"And that will do it! Arsenal are through to the fourth round as another late show sees them snatch victory from the jaws of a replay. Robinson's early goal is long forgotten as Giroud's late strike sends the Gunners into the next stage. Poor Preston gave a great account of themselves but come away with nothing. That's all from us, thanks for tuning in."
90'+4',action,CRACKER! Welbeck strides forward at his own pace before stinging the palms of Maxwell from 20 yards. Xhaka runs out the clock from the resulting corner.
90'+3',action,"Maxwell sees a ball into the box late, and is forced to react quickly to challenge Giroud and prevent him from icing the game with a finish. Arsenal are almost there with the seconds ticking away."
90'+2',substitution,Substitution sub-out Ainsley Maitland-Niles sub-in Rob Holding . Another late Wenger change as Maitland-Niles departs for Holding.
90'+2',substitution,Substitution sub-out Lucas Pérez Martínez sub-in Jeff Reine-Adelaide . Lucas goes off for sub-in Jeff Reine-Adelaide.
90'+1',action,"Desolation and heads in hands all over the pitch as Preston see this one slip away from their grasp. What about Giroud though - he's been clutch for Arsenal this season, pulling through with another decisive late goal!"
89',assist,Assist Lucas Pérez Martínez. He was having a bad game up until that incredible piece of tenacity.
89',goal,"Goal Olivier Giroud. GIROUD BREAKS PRESTON HEARTS! The big striker wins the initial flick on which sends Lucas to the byline, and he does excellently to direct the ball back into the path of the Frenchman, who converts to surely end this one!"
87',action,"After a protracted period of pressure, Iwobi hammers a shot right into the arms of Maxwell. Moments later, Pearson goes down with cramp - he's been absolutely everywhere on the pitch!"
85',action,"Makienok's introduction, all six-foot-seven of him, presented Preston with a clear option up front, but so far, they've only managed to fling one cross in his direction which was well dealt with by the defence."
83',action,"Not a lot to report from the pitch, I'm afraid, with Arsenal holding onto the ball in harmless areas. The frustration is growing among both sets of supporters as we trickle away to the end of the game."
83',substitution,Substitution sub-out Alex Oxlade-Chamberlain sub-in Daniel Nii Tackie Mensah Welbeck . Welbeck makes his long-awaited return from injury in place of Oxlade-Chamberlain.
81',substitution,Substitution sub-out Daniel Johnson sub-in Daryl Horgan . Horgan is introduced in place of Johnson.
80',action,"Just over 10 minutes remain in this game and in truth, the Arsenal threat has quelled since the hour mark or so. A draw seems about the fairest result all things considered, but both sides will probably want to avoid a replay."
77',action,"GOAL RULED OUT! Preston fail to clear the ball properly, and Lucas is on the loose ball in a flash, clipping in the clearly offside Giroud for a finish Moments later, the combustible and recently booked Pearson concedes anther foul."
75',substitution,Substitution sub-out Jordan Hugill sub-in Simon Makienok Christoffersen . Hugill is withdrawn and on comes Makienok.
75',yellow-card,"Yellow Card Ben Pearson. Pearson finally gets booked for upending Xhaka in the middle of the park. That's yellow number 10 for him this season, meaing a two-match ban. His influence has waned badly in the second half."
72',action,"GREAT PLAY ALL AROUND! Oxlade-Chamberlain plays a flat corner to the near post where Mustafi charges in ahead of Robinson to lash a first-time effort on goal, but Maxwell saves it well!"
70',yellow-card,"Yellow Card Gabriel Armando de Abreu. Gabriel and Hugill, who have been going at it all game, get tangled once again after the Brazilian defender clatters into the forward. Yellow card in what is becoming a feisty game."
67',action,"Xhaka teases in the free-kick, where Giroud gets ahead of Cunningham and plants a header down the throat of Maxwell. The defender is lucky that the referee didn't spot his shirt pull on the French striker."
65',yellow-card,"Yellow Card Greg Cunningham. Cunningham lunges in and upends Lucas, which the referee pulls up, brandishing a yellow card to boot. It appears to be a harsh call against the defender."
