,action,"And that will do it from the Liberty Stadium as Paul Clement's first match in charge of Swansea ends in a comprehensive defeat to Arsenal. Two own goals either side of strikes from Giroud and Sanchez did the damage. The Gunners move back into the top four provisionally, while relegation still stares the Swans in the face. That's it from me, thanks for joining."
90'+2',action,Koscielny comes off second best in an aerial challenge with McBurnie and needs some attention from the physios. That may well bring us to the end of this match as the defender jogs off.
90',action,"Into the dying moments of this game and the result has not been in doubt for some time. It's almost been a perfect trip to Wales for Arsenal, but they will wait anxiously on news of Giroud's injury."
88',action,"Arsenal's attack in the last few minutes has turned into a Xhaka shooting gallery. As the defence has collapsed around their attackers, the Swiss midfielder is often the spare man at the top of the box, but his latest effort is swallowed by Fabianski."
86',action,"There was a chance for Swansea to overload Arsenal there with Borja on the ball, but they fail to cash in on their momentum and the defence can get back to restrict Sigurdsson to a low shot into the arms of Cech."
84',action,"Poor from Swansea again. McBurnie makes the first mistake by not playing the ball inside the full-back for Borja to attack. Then, the Spaniard tries to follow that up with a poor run down the right, where he's caught offside."
82',action,"Arsenal have a chance to make it 5-0 as Xhaka puts some power behind a drive, but Fabianski is equal to it with a smart hold. The Polish keeper has done well all things considered."
82',action,"Sanchez is making a point of showing his displeasure at being substituted. It's all a bit petulant from the Chilean, and will do nothing to smooth over his well-publicised contract negotiations."
80',action,"Swansea attempt to get some consolation on the scoreboard, as McBurnie makes a good run down the left, but his low cross is missed by both Borja and Fer. That sums up the hosts in this game."
79',substitution,; Danny Welbeck also gets a run out as Sanchez departs.
79',substitution,; Lucas Perez appears in place of Ozil.
78',yellow-card,"Yellow Card Leroy Fer ; Ramsey is caught late by Fer, who is shown a yellow card."
77',action,"How about Alexis Sanchez though? That's 14 goals in the Premier League for him this season - no one else has scored more. He didn't sulk at playing wide this evening, and got his reward."
75',action,Swansea continue to ship goals by the barrel. That's one shy of a half-century of goals they've conceded in their 21 games so far. It's surely the first thing that Clement has to address if they're to survive.
73',goal,"Goal Alexis Alejandro Sánchez Sánchez ; Sanchez makes it four! Iwobi's clever ball to Oxlade-Chamberlain sees the winger cut it back to Ramsey, and while Routledge makes a good challenge, the Chilean is there to pick up the pieces inside the area!"
71',substitution,; Cork's game is at an end as Oliver McBurnie replaces him.
70',action,How do you account for situations like that? Two own goals in the second half have surely put this match beyond Swansea's reach. It's quite the macabre start to Clement's tenure.
70',substitution,; More changes for Swansea as Borja is on for Llorente.
67',own-goal,"Own Goal Kyle Naughton ; AND THAT'S THREE! Another own goal against Swansea, and this time it's Naughton as the unlucky character. Ozil's ball to Iwobi sees the youngster size up his marker before flinging the ball into the six-yard area, where the defender turns it into his own net."
66',action,"Some signs that Swansea's interest in this game is not quite put to bed as they create two solid chances in the past few minutes. However, moments later, they're nearly undone on the counter."
64',action,"Swansea create another shooting opportunity as the ball drops kindly for Fernandez inside the area as Arsenal fail to clear, but he leans back and slides the ball well over the target."
62',action,"Swansea break forward for probably the first time in the second half, as Routledge takes down a bouncing ball and unleashes a decent strike that draws a comfortable low save out of Cech."
60',substitution,; Belated withdrawal for Giroud as Oxlade-Chamberlain comes on.
