90' + 5',penalty-goal,Penalty Goal Wissam Ben Yedder.
90' + 4',yellow-card,Yellow Card Lombán.
86',substitution,Substitution sub-out Artem Kravets sub-in Ezequiel Ponce .
81',yellow-card,Yellow Card Javi Márquez.
77',substitution,Substitution sub-out Uche Henry Agbo sub-in Javi Márquez .
75',substitution,Substitution sub-out Jeremie Boga sub-in Cuenca .
69',substitution,Substitution sub-out Gabriel Mercado sub-in Pablo Sarabia .
69',substitution,Substitution sub-out Correa sub-in Wissam Ben Yedder .
63',yellow-card,Yellow Card Iborra.
56',assist,Assist Artem Kravets.
56',goal,Goal Lombán.
55',substitution,Substitution sub-out Matías Kranevitter sub-in Iborra .
44',yellow-card,Yellow Card Franco Vázquez.
40',yellow-card,Yellow Card M. Carcela.
34',yellow-card,Yellow Card Gabriel Silva.
28',yellow-card,Yellow Card Andreas Pereira.
27',assist,Assist Jeremie Boga.
27',goal,Goal Andreas Pereira.
