89',red-card,Red Card Fabrizio Cacciatore.
85',assist,Assist Valter Birsa.
85',goal,Goal Roberto Inglese.
82',substitution,Substitution sub-out Marco Benassi sub-in Afriyie Acquah .
81',substitution,Substitution sub-out Jonathan De Guzmán sub-in Lamin Jallow .
69',substitution,Substitution sub-out Iago Falqué sub-in Lucas Boyé .
69',substitution,Substitution sub-out Riccardo Meggiorini sub-in Roberto Inglese .
64',yellow-card,Yellow Card Leandro Castán.
58',substitution,Substitution sub-out Daniele Baselli sub-in J. Obi .
46',substitution,Substitution sub-out Mariano Julio Izco sub-in Riccardo Meggiorini .
38',goal,Goal Iago Falqué.
35',assist,Assist Antonio Barreca.
35',goal,Goal Iago Falqué.
24',yellow-card,Yellow Card Dario Dainelli.
13',yellow-card,Yellow Card Adem Ljajic.
