90' + 1',yellow-card,Yellow Card Alberto Gilardino.
82',substitution,Substitution sub-out Levan Mchedlidze sub-in Alberto Gilardino .
81',penalty-save,Penalty save Lukasz Skorupski.
81',missed-penalty,Missed Penalty João Pedro.
80',red-card,Red Card Roberto Colombo.
72',assist,Assist Guido Marilungo.
72',goal,Goal Levan Mchedlidze.
71',yellow-card,Yellow Card M. Isla.
69',substitution,Substitution sub-out Daniele Dessena sub-in João Pedro .
65',yellow-card,Yellow Card Levan Mchedlidze.
60',substitution,Substitution sub-out Marco Sau sub-in Niccolò Giannetti .
57',yellow-card,Yellow Card Diego Farias.
55',yellow-card,Yellow Card Daniele Dessena.
51',substitution,Substitution sub-out Nicolò Barella sub-in Davide Di Gennaro .
45' + 2',yellow-card,Yellow Card Guido Marilungo.
43',yellow-card,Yellow Card Federico Melchiorri.
42',yellow-card,Yellow Card Rade Krunic.
35',yellow-card,Yellow Card Andrea Costa.
25',substitution,Substitution sub-out Marco Zambelli sub-in Uros Cosic .
23',substitution,Substitution sub-out Manuel Pasqual sub-in Federico Dimarco .
14',yellow-card,Yellow Card Riccardo Saponara.
8',assist,Assist Guido Marilungo.
8',goal,Goal Levan Mchedlidze.
5',yellow-card,Yellow Card Simone Padoin.
