90' + 4',penalty-goal,Penalty Goal Gianluca Caprari.
86',substitution,Substitution sub-out Ivan Strinic sub-in Christian Maggio .
85',assist,Assist Allan.
85',goal,Goal Dries Mertens.
80',substitution,Substitution sub-out Lorenzo Insigne sub-in Emanuele Giaccherini .
70',substitution,Substitution sub-out Alberto Gilardino sub-in I. Mitriță .
70',substitution,Substitution sub-out Valerio Verre sub-in Alberto Cerri .
65',substitution,Substitution sub-out Piotr Zielinski sub-in Allan .
64',substitution,Substitution sub-out Alessandro Bruno sub-in Michele Fornasier .
54',yellow-card,Yellow Card Albano Bizzarri.
49',assist,Assist Piotr Zielinski.
49',goal,Goal Marek Hamsik.
47',assist,Assist Jorginho.
47',goal,Goal Lorenzo Tonelli.
44',yellow-card,Yellow Card Ahmad Benali.
43',yellow-card,Yellow Card Lorenzo Tonelli.
40',yellow-card,Yellow Card Andrea Coda.
