90' + 3',red-card,Red Card João Pedro.
90' + 1',substitution,Substitution sub-out Kostas Manolas sub-in Thomas Vermaelen .
89',yellow-card,Yellow Card Nicolò Barella.
88',substitution,Substitution sub-out Radja Nainggolan sub-in Leandro Paredes .
87',yellow-card,Yellow Card Kostas Manolas.
82',yellow-card,Yellow Card Luca Ceppitelli.
81',substitution,Substitution sub-out Fabio Pisacane sub-in Pancrazio Faragò .
81',substitution,Substitution sub-out Perotti sub-in Stephan El Shaarawy .
72',substitution,Substitution sub-out Diego Farias sub-in Marco Sau .
66',substitution,Substitution sub-out Daniele Dessena sub-in João Pedro .
55',assist,Assist Antonio Rüdiger.
55',goal,Goal Edin Dzeko.
18',yellow-card,Yellow Card Fabio Pisacane.
