90' + 5',yellow-red,Yellow/Red A. Andrade.
90' + 3',substitution,Substitution sub-out J. Aquino sub-in J. Torres .
90',yellow-card,Yellow Card Andre-Pierre Gignac.
88',substitution,Substitution sub-out J. Estrada sub-in J. Rivas .
84',yellow-card,Yellow Card Mauro Boselli.
84',yellow-card,Yellow Card Guillermo Burdisso.
83',substitution,Substitution sub-out F. Navarro sub-in C. Guzmán .
78',assist,Assist J. Dueñas.
78',goal,Goal Lucas Manuel Zelarrayán.
75',substitution,Substitution sub-out Hernán Darío Burbano sub-in J.I. González .
71',yellow-card,Yellow Card A. Andrade.
70',substitution,Substitution sub-out I. Sosa sub-in Lucas Manuel Zelarrayán .
66',substitution,Substitution sub-out L. López sub-in E. Hernández .
57',yellow-card,Yellow Card Guido Pizarro.
45' + 2',assist,Assist J. Estrada.
45' + 2',goal,Goal Andre-Pierre Gignac.
42',yellow-card,Yellow Card Maximiliano Moralez.
36',yellow-card,Yellow Card J. Dueñas.
32',yellow-card,Yellow Card L. López.
17',assist,Assist L. López.
17',goal,Goal L. Montes.
