90' + 4',yellow-red,Yellow/Red D. Arreola.
89',substitution,Substitution sub-out R. Pizarro sub-in C. Fierro .
84',assist,Assist Clifford Aboagye.
84',goal,Goal M. Barragán .
78',yellow-card,Yellow Card F. Martínez.
77',yellow-card,Yellow Card A. Pulido.
77',yellow-card,Yellow Card D. Arreola.
71',yellow-card,Yellow Card Clifford Aboagye.
69',substitution,Substitution sub-out I. Brizuela sub-in A. Pulido .
64',substitution,Substitution sub-out J. López sub-in M. Pérez  .
59',substitution,Substitution sub-out L. Robles sub-in F. Martínez .
46',substitution,Substitution sub-out D. Álvarez sub-in J. Barraza .
46',substitution,Substitution sub-out Matías Alustiza sub-in Clifford Aboagye .
40',goal,Goal O. Pineda.
31',penalty-goal,Penalty Goal A. Zaldívar.
30',yellow-card,Yellow Card J. Madueña.
