85',yellow-red,Yellow/Red F. Acuña.
80',yellow-card,Yellow Card Adrián Luna.
80',substitution,Substitution sub-out M. Cancela sub-in J. Chiapas .
77',yellow-card,Yellow Card F. Acuña.
76',substitution,Substitution sub-out Federico González sub-in Á. Navarro .
75',yellow-card,Yellow Card M. Cancela.
70',substitution,Substitution sub-out Leobardo López sub-in A. Briseño  .
67',assist,Assist Adrián Luna.
67',goal,Goal D. Villalba.
65',assist,Assist Ó. Rojas.
65',goal,Goal C. Gutierrez.
54',assist,Assist P. Míguez.
54',goal,Goal Alexis Pedro Canelo.
46',substitution,Substitution sub-out E. Andrade sub-in Leandro Velázquez .
46',substitution,Substitution sub-out R. Herrera sub-in J. Amione .
46',substitution,Substitution sub-out F. Torres sub-in F. Acuña .
45',goal,Goal D. Villalba.
42',assist,Assist Adrián Luna.
42',goal,Goal Á. Reyna.
39',yellow-card,Yellow Card Federico González.
31',yellow-card,Yellow Card E. Andrade.
