"
Bastia
","
Lille"
Starting XI
16,J. Leca,[],1,V. Enyeama,[]
17,L. Rose,[],18,F. Béria,"[('yellow-card', ""25'"")]"
4,A. El Kaoutari,[],22,J. Alonso,[]
23,A. Djiku,[],2,S. Corchia,[]
20,P. Bengtsson,[],23,A. Soumaoro,[]
25,L. Coulibaly,[],6,I. Amadou,[]
18,Y. Cahuzac,[],17,Rony Lopes,"[('sub-out', ""90'"")]"
10,A. Saint-Maximin,[],8,Xeka,"[('sub-out', ""77'"")]"
14,M. Mostefa,"[('sub-out', ""70'"")]",9,Y. Benzia,[]
15,P. Oniangué,"[('sub-out', ""87'"")]",19,Éder,[]
27,E. Crivelli,"[('yellow-card', ""74'""), ('sub-out', ""90'+"")]",12,N. de Préville,"[('sub-out', ""76'"")]"
