"
Lorient
","
Nice
"
Starting XI
40,B. Lecomte,[],30,Y. Cardinale,"[('yellow-card', ""79'"")]"
5,Z. Touré,[],31,Dante,[]
15,M. Peybernes,[],29,Dalbert Henrique,[]
6,F. Bellugou,"[('yellow-card', ""53'""), ('sub-out', ""71'"")]",2,A. Souquet,[]
25,V. Le Goff,[],4,P. Baysse,[]
7,A. Mvuemba,[],24,M. Obbadi,"[('yellow-card', ""43'""), ('sub-out', ""77'"")]"
10,S. Marveaux,"[('yellow-card', ""29'"")]",5,Y. Belhanda,[]
27,J. Cabot,"[('sub-out', ""88'"")]",13,V. Eysseric,"[('sub-out', ""81'"")]"
34,E. Koffi,[],6,J. Seri,[]
12,B. Moukandjo,"[('yellow-card', ""67'""), ('sub-out', ""78'"")]",25,W. Cyprien,[]
9,A. Waris,[],9,M. Balotelli,"[('red-card', ""68'"")]"
