"
Dijon
","
Lille
"
Starting XI
30,B. Reynet,[],1,V. Enyeama,[]
4,J. Lotiès,"[('yellow-card', ""47'"")]",18,F. Béria,"[('yellow-card', ""57'"")]"
23,V. Rüfli,[],23,A. Soumaoro,[]
2,Á. Lang,"[('yellow-card', ""29'"")]",15,J. Palmieri,[]
27,C. Varrault,"[('sub-out', ""82'"")]",25,M. Baša,[]
13,M. Martin,"[('sub-out', ""68'"")]",2,S. Corchia,[]
8,P. Lees Melou,[],6,I. Amadou,[]
15,F. Balmont,[],4,Y. Sankhare,[]
14,J. Marié,[],17,Rony Lopes,"[('sub-out', ""30'"")]"
11,Júlio Tavares,[],12,N. de Préville,[]
9,L. Diony,[],9,Y. Benzia,"[('yellow-card', ""27'"")]"
