"
PSG
","
Monaco
"
Starting XI
1,K. Trapp,"[('sub-out', ""54'"")]",1,D. Subašić,[]
12,T. Meunier,[],23,B. Mendy,[]
20,L. Kurzawa,[],2,Fabinho,[]
2,Thiago Silva,[],5,Jemerson,[]
5,Marquinhos,[],25,K. Glik,[]
23,J. Draxler,"[('sub-out', ""87'"")]",19,D. Sidibé,"[('yellow-card', ""80'"")]"
7,Lucas Moura,"[('sub-out', ""60'"")]",27,T. Lemar,"[('sub-out', ""83'"")]"
14,B. Matuidi,[],14,T. Bakayoko,"[('sub-out', ""89'"")]"
25,A. Rabiot,[],10,Bernardo Silva,[]
8,T. Motta,[],18,V. Germain,"[('sub-out', ""76'"")]"
9,E. Cavani,[],9,R. Falcao,[]
