"
Olympique Marseille
","
Nancy
"
Starting XI
16,Y. Pelé,[],1,S. Chernik,[]
6,Rolando,[],3,T. Badila,"[('yellow-card', ""24'"")]"
2,H. Sakai,[],2,C. Lenglet,[]
24,R. Fanni,[],14,J. Cuffaut,[]
15,T. Hubočan,[],4,M. Diagne,[]
27,M. Lopez,"[('sub-out', ""83'"")]",19,L. Puyo,[]
26,F. Thauvin,"[('sub-out', ""89'"")]",13,S. N’Guessan,"[('sub-out', ""81'"")]"
29,A. Zambo Anguissa,[],10,I. Dia,[]
19,W. Vainqueur,[],5,A. Diarra,"[('sub-out', ""70'"")]"
18,B. Gomis,"[('sub-out', ""90'+"")]",25,B. Pedretti,"[('red-card', ""82'"")]"
14,C. N'Jie,[],15,Y. Hadji,"[('sub-out', ""61'"")]"
