"
Metz
","
Olympique Lyonnais
"
Starting XI
1,T. Didillon,[],1,Anthony Lopes,[]
5,G. Milán,[],15,J. Morel,[]
6,S. Falette,[],13,C. Jallet,[]
23,C. Philipps,"[('yellow-card', ""36'""), ('sub-out', ""73'"")]",5,M. Diakhaby,"[('yellow-card', ""57'"")]"
13,F. Signorino,[],4,E. Mammana,[]
25,Iván,[],28,M. Valbuena,[]
14,G. Mandjeck,"[('yellow-card', ""76'"")]",29,L. Tousart,[]
24,R. Cohade,[],21,M. Gonalons,"[('sub-out', ""85'"")]"
22,K. Lejeune,"[('sub-out', ""67'"")]",11,R. Ghezzal,"[('sub-out', ""77'"")]"
19,F. Mollet,"[('yellow-card', ""4'"")]",18,N. Fekir,[]
11,O. N'Guette,[],10,A. Lacazette,"[('sub-out', ""85'"")]"
