"
Monaco
","
Nantes
"
Starting XI
1,D. Subašić,[],30,M. Dupé,[]
23,B. Mendy,[],26,K. Djidji,[]
19,D. Sidibé,"[('yellow-card', ""66'"")]",6,Lucas Lima,[]
25,K. Glik,[],15,L. Dubois,[]
2,Fabinho,[],3,Diego Carlos,[]
5,Jemerson,"[('yellow-card', ""45'"")]",27,G. Gillet,[]
14,T. Bakayoko,[],8,A. Thomasson,"[('sub-out', ""46'"")]"
10,Bernardo Silva,"[('sub-out', ""78'"")]",28,V. Rongier,[]
27,T. Lemar,[],22,P. Nakoulma,[]
29,K. Mbappe ,"[('sub-out', ""68'"")]",9,E. Sala,"[('sub-out', ""62'"")]"
18,V. Germain,"[('sub-out', ""85'"")]",20,F. Pardo,"[('yellow-card', ""42'""), ('sub-out', ""62'"")]"
