"
Montpellier
","
Nantes
"
Starting XI
1,L. Pionnier,[],30,M. Dupé,[]
23,N. Mukiele,"[('sub-out', ""80'"")]",15,L. Dubois,[]
24,J. Roussillon,[],6,Lucas Lima,[]
3,D. Congré,[],26,K. Djidji,[]
4,Hilton,[],3,Diego Carlos,[]
13,E. Skhiri,[],28,V. Rongier,[]
20,K. Dolly,"[('sub-out', ""62'"")]",27,G. Gillet,"[('yellow-card', ""11'"")]"
28,S. Sessègnon,[],7,J. Iloki,"[('sub-out', ""70'"")]"
10,R. Boudebouz,[],8,A. Thomasson,[]
15,S. Mounié,[],22,P. Nakoulma,"[('yellow-card', ""45'""), ('sub-out', ""74'"")]"
18,I. Mbenza,"[('sub-out', ""78'"")]",10,Y. Bammou,"[('sub-out', ""59'"")]"
