"
Nantes
","
Lille
"
Starting XI
1,R. Riou,[],1,V. Enyeama,[]
6,Lucas Lima,[],23,A. Soumaoro,[]
3,Diego Carlos,[],18,F. Béria,[]
4,O. Vizcarrondo,"[('yellow-card', ""83'"")]",25,M. Baša,[]
25,E. Kwateng,[],2,S. Corchia,[]
26,K. Djidji,"[('sub-out', ""82'"")]",8,M. Obbadi,"[('yellow-card', ""43'""), ('sub-out', ""65'"")]"
27,G. Gillet,[],6,I. Amadou,[]
8,A. Thomasson,[],17,Rony Lopes,[]
23,N. Thomsen,"[('sub-out', ""66'"")]",12,N. de Préville,"[('sub-out', ""78'"")]"
10,Y. Bammou,"[('sub-out', ""57'"")]",19,Éder,[]
9,E. Sala,[],9,Y. Benzia,"[('yellow-card', ""52'""), ('sub-out', ""71'"")]"
