"
Lille
","
Lorient
"
Starting XI
16,M. Maignan,[],40,B. Lecomte,[]
18,F. Béria,"[('yellow-card', ""66'"")]",6,F. Bellugou,[]
23,A. Soumaoro,[],20,S. Moreira,[]
2,S. Corchia,[],15,M. Peybernes,[]
25,M. Baša,[],25,V. Le Goff,[]
6,I. Amadou,[],7,A. Mvuemba,[]
8,Xeka,"[('sub-out', ""78'"")]",23,A. Wakaso,"[('yellow-card', ""41'"")]"
27,N. Sliti,"[('sub-out', ""60'"")]",10,S. Marveaux,"[('sub-out', ""90'"")]"
9,Y. Benzia,"[('sub-out', ""60'"")]",19,R. Philippoteaux,"[('sub-out', ""83'"")]"
12,N. de Préville,[],14,J. Aliadière,"[('sub-out', ""60'"")]"
7,A. El Ghazi,[],9,A. Waris,[]
