"
Rennes
","
Bastia
"
Starting XI
1,B. Costil,[],16,J. Leca,[]
32,J. Gnagnon,[],28,F. Marange,[]
15,R. Bensebaini,"[('sub-out', ""72'"")]",17,M. Peybernes,[]
24,L. Baal,[],29,G. Cioni,[]
29,R. Danzé,[],8,G. Danic,[]
23,A. Hunou,"[('sub-out', ""56'"")]",14,M. Mostefa,[]
28,Y. Gourcuff,[],18,Y. Cahuzac,"[('sub-out', ""18'"")]"
21,B. André,[],12,A. Keita,[]
6,G. Fernandes,"[('yellow-card', ""45'""), ('sub-out', ""77'"")]",13,T. Bifouma,"[('sub-out', ""46'"")]"
7,P. Ntep,[],27,E. Crivelli,[]
13,G. Sio,[],2,S. Diallo,"[('sub-out', ""84'"")]"
