"
Nancy
","
Bastia
"
Starting XI
1,S. Chernik,[],16,J. Leca,[]
26,V. Muratori,[],23,A. Djiku,[]
3,T. Badila,[],29,G. Cioni,[]
4,M. Diagne,[],28,F. Marange,"[('sub-out', ""17'"")]"
14,J. Cuffaut,[],6,A. Saint-Maximin,"[('red-card', ""86'"")]"
18,D. Guidileye,"[('yellow-card', ""24'""), ('sub-out', ""66'"")]",12,A. Keita,[]
10,I. Dia,"[('sub-out', ""75'"")]",8,G. Danic,[]
5,A. Diarra,"[('yellow-card', ""29'"")]",18,Y. Cahuzac,"[('sub-out', ""70'"")]"
11,K. Coulibaly,[],14,M. Mostefa,[]
25,B. Pedretti,[],27,E. Crivelli,[]
12,C. Mandanne,"[('sub-out', ""46'"")]",2,S. Diallo,"[('sub-out', ""61'"")]"
