"
Nice
","
Metz
"
Starting XI
40,W. Benítez,[],1,T. Didillon,[]
31,Dante,[],23,C. Philipps,[]
4,P. Baysse,[],5,G. Milán,[]
32,M. Sarr,"[('yellow-card', ""39'"")]",25,Iván,[]
2,A. Souquet,[],2,F. Diagne,"[('yellow-card', ""73'"")]"
21,Ricardo Pereira,[],6,S. Falette,[]
29,Dalbert Henrique,[],13,F. Signorino,[]
25,W. Cyprien,[],19,F. Mollet,"[('sub-out', ""86'"")]"
8,A. Lusamba,"[('sub-out', ""67'"")]",24,R. Cohade,[]
26,V. Koziello,"[('yellow-card', ""75'"")]",11,O. N'Guette,[]
14,A. Plea,"[('sub-out', ""81'"")]",17,H. Diallo,"[('sub-out', ""81'"")]"
