"
Toulouse
","
Nantes"
Starting XI
40,A. Lafont,[],30,M. Dupé,[]
2,K. Adou,[],6,Lucas Lima,[]
12,Issiaga Sylla,"[('yellow-card', ""25'""), ('sub-out', ""56'"")]",3,Diego Carlos,[]
29,F. Moubandje,[],26,K. Djidji,"[('yellow-card', ""81'"")]"
5,I. Diop,[],15,L. Dubois,[]
6,C. Jullien,[],7,J. Iloki,"[('sub-out', ""81'"")]"
19,Somália,[],14,A. Harit,[]
4,T. Doumbia,"[('sub-out', ""69'"")]",27,G. Gillet,[]
27,A. Blin,[],19,A. Touré,"[('yellow-card', ""62'""), ('sub-out', ""75'"")]"
10,O. Trejo,"[('sub-out', ""71'"")]",9,E. Sala,[]
9,M. Braithwaite,[],18,M. Stępiński,"[('sub-out', ""41'"")]"
