"
PEC Zwolle
","
Groningen"
Starting XI
1,M. van der Hart,[],1,S. Padt,[]
3,T. van de Pavert,[],3,K. Larsen,"[('sub-out', ""82'"")]"
2,B. van Polen,"[('yellow-card', ""90'+"")]",6,E. Reijnen,[]
5,C. Verdonk,"[('sub-out', ""65'"")]",33,H. Hateboer,[]
4,D. Marcellis,[],8,R. Jenssen,[]
14,W. Brama,[],22,S. Tibbling,[]
23,D. Holla,"[('yellow-card', ""48'"")]",12,J. Bacuna,[]
6,M. Saymak,[],20,Y. van Nieff,[]
11,Q. Menig,"[('sub-out', ""78'"")]",10,A. Rusnák,[]
44,N. Brock-Madsen,"[('yellow-card', ""15'"")]",14,M. Mahi,[]
20,K. Ehizibue,"[('sub-out', ""65'"")]",19,T. van Weert,[]
