"
AZ
","
Heracles"
Starting XI
1,S. Rochet,[],1,B. Castro,[]
2,M. Johansson,[],4,R. Pröpper,"[('yellow-card', ""45'"")]"
5,R. Haps,[],27,J. Hoogma,[]
4,R. Vlaar,[],2,T. Breukers,[]
30,S. Wuytens,[],21,R. Gosens,"[('yellow-card', ""45'"")]"
6,B. Rienstra,[],14,J. Pelupessy,[]
20,M. Seuntjens,[],8,L. Duarte,[]
18,I. Bel Hassani,[],10,T. Bruns,"[('sub-out', ""57'"")]"
9,W. Weghorst,[],17,B. Kuwas,"[('sub-out', ""69'"")]"
21,R. Mühren,"[('sub-out', ""83'"")]",9,S. Armenteros,[]
11,M. Tankovic,"[('sub-out', ""60'"")]",7,B. Darri,"[('sub-out', ""79'"")]"
