"
Heerenveen
","
Excelsior
"
Starting XI
1,E. Mulder,[],22,T. Muyters,[]
2,S. Marzo,[],15,J. Mattheij,"[('yellow-card', ""55'"")]"
4,J. van Aken,[],5,B. Kuipers,[]
12,D. Schmidt,[],2,K. Karami,[]
5,L. Bijker,[],4,H. Drost,[]
21,Y. Kobayashi,[],8,R. Koolwijk,"[('yellow-card', ""42'""), ('sub-out', ""83'"")]"
6,S. Schaars,"[('sub-out', ""65'"")]",18,K. Vermeulen,"[('yellow-card', ""69'""), ('sub-out', ""78'"")]"
11,S. Larsson,"[('yellow-card', ""26'"")]",12,Jeffry Fortes,[]
13,A. Zeneli,"[('sub-out', ""85'"")]",17,Fredy,[]
19,P. van Amersfoort,"[('yellow-card', ""42'""), ('sub-out', ""90'+"")]",7,N. Hasselbaink,[]
9,R. Ghoochannejhad,[],11,S. Elbers,"[('sub-out', ""72'"")]"
