"
Excelsior
","
NEC
"
Starting XI
22,T. Muyters,[],1,J. Delle,[]
15,J. Mattheij,[],15,R. Buwalda,"[('sub-out', ""60'"")]"
4,H. Drost,"[('yellow-card', ""55'"")]",24,A. Fomitschow,"[('sub-out', ""77'"")]"
2,K. Karami,[],4,W. Golla,[]
5,B. Kuipers,[],3,D. Dumić,[]
12,Jeffry Fortes,[],8,Janio Bikel,[]
18,K. Vermeulen,"[('sub-out', ""83'"")]",34,G. Breinburg,"[('yellow-card', ""90'"")]"
24,H. Faik,[],16,F. Kadioglu,[]
17,Fredy,"[('sub-out', ""78'"")]",19,J. von Haacke,"[('sub-out', ""65'"")]"
11,S. Elbers,"[('sub-out', ""67'"")]",17,J. Grot,[]
7,N. Hasselbaink,[],20,M. Rayhi,[]
