"
PSV
","
Excelsior
"
Starting XI
1,J. Zoet,[],25,W. Hahn,[]
5,D. Schwaab,[],23,M. Massop,[]
3,H. Moreno,[],15,J. Mattheij,[]
15,J. Willems,[],5,B. Kuipers,[]
4,S. Arias,[],2,K. Karami,[]
6,D. Pröpper,[],18,K. Vermeulen,[]
28,M. van Ginkel,"[('sub-out', ""88'"")]",12,Jeffry Fortes,"[('yellow-card', ""43'""), ('sub-out', ""63'"")]"
18,A. Guardado,"[('sub-out', ""85'"")]",24,H. Faik,[]
23,B. Ramselaar,[],17,Fredy,[]
7,G. Pereiro,[],11,S. Elbers,"[('sub-out', ""63'"")]"
9,L. de Jong,"[('sub-out', ""85'"")]",7,N. Hasselbaink,"[('sub-out', ""75'"")]"
