"
AZ","
Sparta Rotterdam
"
Starting XI
1,S. Rochet,[],1,R. Kortsmit,[]
23,D. Luckassen,[],3,S. Floranus,[]
2,M. Johansson,[],2,D. Dumfries,[]
5,R. Haps,[],6,R. van Drongelen,"[('yellow-card', ""81'"")]"
20,M. Seuntjens,[],8,M. Dijkstra,"[('yellow-card', ""88'"")]"
30,S. Wuytens,[],5,M. Breuer,"[('yellow-card', ""59'""), ('sub-out', ""69'"")]"
6,B. Rienstra,[],9,P. van Moorsel,[]
21,R. Mühren,"[('sub-out', ""76'"")]",4,R. Sanusi,"[('sub-out', ""61'"")]"
9,W. Weghorst,[],10,S. Spierings,[]
7,A. Jahanbakhsh,"[('sub-out', ""90'+"")]",7,T. Verhaar,[]
11,M. Tankovic,"[('sub-out', ""79'"")]",11,Iván Calero,"[('sub-out', ""80'"")]"
