"
Feyenoord","
Willem II
"
Starting XI
25,B. Jones,[],1,K. Lamprou,[]
33,Eric Botteghin,[],26,K. Tshimanga,[]
6,J. van der Heijden,[],29,D. Lachman,[]
4,T. Kongolo,[],4,J. Peters,[]
2,R. Karsdorp,[],46,P. van Anholt,[]
10,T. Vilhena,[],20,A. Kali,[]
28,J. Toornstra,[],7,J. Schuurman,"[('sub-out', ""82'"")]"
19,S. Berghuis,[],25,E. Lieftink,[]
7,D. Kuijt,"[('sub-out', ""75'"")]",8,T. Haye,"[('sub-out', ""46'"")]"
11,E. Elia,"[('sub-out', ""83'"")]",9,Fran Sol,[]
9,N. Jørgensen,[],14,J. Croux,"[('sub-out', ""67'"")]"
