"
Groningen
","
Vitesse
"
Starting XI
1,S. Padt,[],1,E. Room,[]
6,E. Reijnen,[],5,K. Leerdam,[]
3,K. Larsen,[],37,G. Kashia,"[('sub-out', ""46'"")]"
33,H. Hateboer,"[('yellow-card', ""90'+"")]",3,M. van der Werff,[]
8,R. Jenssen,[],6,A. Kruiswijk,[]
22,S. Tibbling,[],41,J. Calor,"[('sub-out', ""77'"")]"
12,J. Bacuna,[],21,S. Yeini,[]
20,Y. van Nieff,[],10,A. Tighadouini,[]
13,A. Sørloth,[],25,N. Foor,"[('red-card', ""86'"")]"
14,M. Mahi,"[('sub-out', ""84'"")]",13,R. van Wolfswinkel,"[('sub-out', ""84'"")]"
11,B. Linssen,"[('sub-out', ""77'"")]",7,M. Rashica,[]
