"
Roda JC
","
Excelsior"
Starting XI
1,B. van Leer,[],25,W. Hahn,[]
3,C. Kum,[],2,K. Karami,[]
5,A. van Peppen,"[('sub-out', ""74'"")]",5,B. Kuipers,[]
27,F. Ananou,"[('sub-out', ""66'"")]",15,J. Mattheij,"[('red-card', ""18'"")]"
2,M. Milec,[],30,J. de Wijs,[]
8,A. Auassar,[],24,H. Faik,[]
14,A. Ajagun,"[('yellow-card', ""90'"")]",12,Jeffry Fortes,[]
7,T. Van Hyfte,[],18,K. Vermeulen,"[('sub-out', ""68'"")]"
9,D. Schahin,"[('yellow-card', ""34'""), ('sub-out', ""58'"")]",9,T. Ondaan,"[('sub-out', ""26'"")]"
17,M. Rosheuvel,[],17,Fredy,"[('sub-out', ""68'"")]"
19,M. Paulissen,[],7,N. Hasselbaink,[]
