"
Feyenoord
","
Groningen
"
Starting XI
25,B. Jones,[],1,S. Padt,[]
6,J. van der Heijden,[],3,K. Larsen,[]
2,R. Karsdorp,[],25,D. Payne,"[('yellow-card', ""20'"")]"
33,Eric Botteghin,[],6,E. Reijnen,[]
4,T. Kongolo,"[('sub-out', ""82'"")]",20,Y. van Nieff,[]
28,J. Toornstra,[],12,J. Bacuna,"[('red-card', ""75'"")]"
8,K. El Ahmadi,"[('sub-out', ""76'"")]",5,S. Memišević,[]
10,T. Vilhena,"[('yellow-card', ""40'"")]",8,R. Jenssen,"[('sub-out', ""80'"")]"
9,N. Jørgensen,[],22,S. Tibbling,"[('sub-out', ""64'"")]"
19,S. Berghuis,[],14,M. Mahi,[]
11,E. Elia,[],11,B. Linssen,"[('sub-out', ""57'"")]"
