"
Sparta Rotterdam
","
Feyenoord"
Starting XI
1,R. Kortsmit,"[('yellow-card', ""73'"")]",25,B. Jones,[]
2,D. Dumfries,"[('yellow-card', ""71'"")]",4,T. Kongolo,"[('sub-out', ""28'"")]"
3,S. Floranus,[],6,J. van der Heijden,[]
5,M. Breuer,[],2,R. Karsdorp,"[('yellow-card', ""63'"")]"
6,R. van Drongelen,[],33,Eric Botteghin,[]
8,M. Dijkstra,[],10,T. Vilhena,[]
7,Jerson Cabral,"[('sub-out', ""78'"")]",28,J. Toornstra,[]
10,P. van Moorsel,[],8,K. El Ahmadi,"[('yellow-card', ""88'"")]"
4,R. Sanusi,[],9,N. Jørgensen,[]
9,M. Pogba,"[('sub-out', ""72'"")]",19,S. Berghuis,"[('sub-out', ""68'"")]"
11,C. Goodwin,"[('sub-out', ""68'"")]",11,E. Elia,"[('sub-out', ""53'"")]"
