"
NEC
","
Heracles
"
Starting XI
1,J. Delle,[],1,B. Castro,[]
2,M. Heinloth,[],27,J. Hoogma,[]
3,D. Dumić,[],3,M. te Wierik,[]
24,A. Fomitschow,"[('yellow-card', ""14'""), ('sub-out', ""25'"")]",12,W. Droste,"[('sub-out', ""46'"")]"
15,R. Buwalda,[],10,T. Bruns,"[('sub-out', ""72'"")]"
4,W. Golla,[],21,R. Gosens,"[('yellow-card', ""38'"")]"
19,J. von Haacke,"[('sub-out', ""86'"")]",14,J. Pelupessy,[]
47,A. Groeneveld,"[('sub-out', ""66'"")]",17,B. Kuwas,"[('yellow-card', ""43'"")]"
34,G. Breinburg,[],18,K. Peterson,"[('sub-out', ""77'"")]"
21,A. Messaoud,[],7,B. Darri,[]
20,M. Rayhi,[],9,S. Armenteros,[]
