"
Go Ahead Eagles","
PSV"
Starting XI
1,T. Zwarthoed,[],1,J. Zoet,[]
32,J. Groenbast,[],15,J. Willems,[]
4,X. Schenk,[],3,H. Moreno,[]
3,S. Fischer,[],2,N. Isimat-Mirin,[]
6,S. Duits,"[('yellow-card', ""47'""), ('sub-out', ""82'"")]",4,S. Arias,[]
29,Chirivella,[],23,B. Ramselaar,"[('sub-out', ""82'"")]"
24,M. Ritzmaier,"[('sub-out', ""30'"")]",6,D. Pröpper,[]
7,D. Crowley,"[('yellow-card', ""45'+"")]",10,S. de Jong,"[('sub-out', ""88'"")]"
28,E. Manu,"[('yellow-card', ""70'"")]",18,A. Guardado,[]
19,S. Hendriks,[],9,L. de Jong,"[('yellow-card', ""34'"")]"
77,J. Antonia,"[('sub-out', ""75'"")]",7,G. Pereiro,"[('sub-out', ""83'"")]"
