"
Utrecht","
Willem II
"
Starting XI
16,D. Jensen,[],1,K. Lamprou,[]
20,G. Troupée,[],26,K. Tshimanga,"[('sub-out', ""58'"")]"
5,K. Conboy,[],4,J. Peters,[]
3,R. Leeuwin,[],29,D. Lachman,[]
23,W. Brama,"[('yellow-card', ""68'"")]",24,G. Joppen,[]
6,Y. Ayoub,[],20,A. Kali,[]
8,W. Janssen,[],8,T. Haye,[]
25,S. Amrabat,"[('yellow-card', ""80'"")]",10,E. Falkenburg,[]
19,Z. Labyad,"[('sub-out', ""74'"")]",6,F. Ojo,[]
27,G. Kerk,"[('sub-out', ""57'"")]",14,J. Croux,"[('sub-out', ""81'"")]"
22,S. Haller,[],9,Fran Sol,"[('sub-out', ""68'"")]"
