"
Heracles
","
Vitesse
"
Starting XI
1,B. Castro,[],1,E. Room,[]
4,R. Pröpper,"[('yellow-card', ""51'""), ('sec-yellow-card', ""56'"")]",28,A. Büttner,"[('sub-out', ""68'"")]"
2,T. Breukers,[],37,G. Kashia,[]
27,J. Hoogma,[],19,M. Miazga,[]
14,J. Pelupessy,"[('sub-out', ""68'"")]",17,K. Diks,"[('yellow-card', ""29'""), ('sec-yellow-card', ""86'"")]"
21,R. Gosens,[],18,M. Nakamba,[]
10,T. Bruns,[],25,N. Foor,[]
29,R. Niemeijer,"[('sub-out', ""80'"")]",34,L. Baker,"[('sub-out', ""86'"")]"
9,S. Armenteros,[],11,Nathan,"[('yellow-card', ""90'+"")]"
18,K. Peterson,"[('sub-out', ""85'"")]",13,R. van Wolfswinkel,[]
17,B. Kuwas,"[('yellow-card', ""71'"")]",7,M. Rashica,"[('sub-out', ""90'+"")]"
