"
Willem II
","
Go Ahead Eagles
"
Starting XI
1,K. Lamprou,[],1,T. Zwarthoed,[]
29,D. Lachman,[],32,J. Groenbast,[]
4,J. Peters,[],35,R. Achenteh,"[('yellow-card', ""76'""), ('sub-out', ""81'"")]"
46,P. van Anholt,[],4,X. Schenk,[]
20,A. Kali,[],3,S. Fischer,[]
25,E. Lieftink,"[('sub-out', ""46'"")]",6,S. Duits,"[('sub-out', ""81'"")]"
6,F. Ojo,[],29,Chirivella,"[('yellow-card', ""70'"")]"
8,T. Haye,"[('sub-out', ""73'"")]",7,D. Crowley,[]
10,E. Falkenburg,[],24,M. Ritzmaier,"[('yellow-card', ""85'"")]"
14,J. Croux,"[('yellow-card', ""77'"")]",19,S. Hendriks,[]
58,O. Oularé,[],77,J. Antonia,[]
