"
Twente
","
Willem II
"
Starting XI
1,N. Marsman,[],1,K. Lamprou,[]
25,P. Bijen,[],24,G. Joppen,[]
28,J. van der Lely,[],26,K. Tshimanga,[]
5,S. Thesker,[],5,D. Koppers,"[('sub-out', ""73'"")]"
2,H. ter Avest,[],29,D. Lachman,[]
43,M. Klich,[],4,J. Peters,[]
7,C. Ede,"[('sub-out', ""79'"")]",10,E. Falkenburg,[]
22,K. Mokotjo,[],20,A. Kali,[]
19,F. Jensen,"[('sub-out', ""67'"")]",6,F. Ojo,[]
10,B. Celina,[],14,J. Croux,"[('sub-out', ""83'"")]"
17,E. Ünal,[],9,Fran Sol,"[('sub-out', ""58'"")]"
