"
Hull City","
West Bromwich Albion"
Starting XI
23,D. Marshall,[],1,B. Foster,[]
28,J. Tymon,"[('sub-out', ""90'+"")]",6,J. Evans,"[('yellow-card', ""67'"")]"
6,C. Davies,[],25,C. Dawson,[]
21,M. Dawson,"[('yellow-card', ""29'"")]",2,A. Nyom,[]
25,R. Mason,"[('sub-out', ""46'"")]",23,G. McAuley,"[('yellow-card', ""60'"")]"
22,M. Henriksen,"[('sub-out', ""88'"")]",24,D. Fletcher,"[('sub-out', ""64'"")]"
14,J. Livermore,[],11,C. Brunt,[]
27,Ahmed El Mohamady,[],7,J. Morrison,"[('sub-out', ""79'"")]"
11,S. Clucas,"[('yellow-card', ""45'"")]",10,M. Phillips,"[('sub-out', ""83'"")]"
10,R. Snodgrass,[],5,C. Yacob,[]
18,D. Mbokani,[],9,S. Rondón,[]
