"
Sunderland
","
Leicester City
"
Starting XI
13,J. Pickford,[],21,R. Zieler,[]
5,P. Djilobodji,"[('yellow-card', ""78'"")]",5,W. Morgan,[]
2,B. Jones,[],6,R. Huth,[]
3,P. van Aanholt,"[('yellow-card', ""68'"")]",17,D. Simpson,[]
4,J. Denayer,"[('sub-out', ""46'"")]",28,C. Fuchs,"[('yellow-card', ""81'"")]"
23,L. Koné,[],13,D. Amartey,[]
14,D. Watmore,"[('sub-out', ""85'"")]",11,M. Albrighton,"[('sub-out', ""73'"")]"
20,S. Pienaar,"[('sub-out', ""46'"")]",10,A. King,[]
17,D. Ndong,[],9,J. Vardy,[]
18,J. Defoe,[],19,I. Slimani,"[('sub-out', ""68'"")]"
28,V. Anichebe,[],26,R. Mahrez,"[('sub-out', ""73'"")]"
