"
Swansea City
","
Sunderland
"
Starting XI
1,Ł. Fabiański,[],13,J. Pickford,[]
3,N. Taylor,[],2,B. Jones,[]
6,A. Mawson,[],3,P. van Aanholt,[]
2,Jordi Amat,[],4,J. Denayer,"[('yellow-card', ""43'"")]"
22,Àngel Rangel,"[('yellow-card', ""60'"")]",5,P. Djilobodji,[]
23,G. Sigurðsson,[],23,L. Koné,[]
56,J. Fulton,[],7,S. Larsson,"[('sub-out', ""55'"")]"
15,W. Routledge,[],17,D. Ndong,"[('yellow-card', ""18'""), ('sub-out', ""57'"")]"
7,L. Britton,[],20,S. Pienaar,"[('sub-out', ""85'"")]"
9,Llorente,"[('sub-out', ""84'"")]",28,V. Anichebe,[]
17,M. Barrow,"[('sub-out', ""77'"")]",18,J. Defoe,[]
