"
AFC Bournemouth
","
Southampton
"
Starting XI
1,A. Boruc,[],1,F. Forster,[]
15,A. Smith,[],3,M. Yoshida,[]
5,N. Aké,[],17,V. van Dijk,[]
3,S. Cook,[],21,R. Bertrand,[]
2,S. Francis,[],2,Cédric Soares,[]
11,C. Daniels,[],22,N. Redmond,[]
7,M. Pugh,"[('sub-out', ""55'"")]",4,J. Clasie,"[('yellow-card', ""76'"")]"
8,H. Arter,[],19,S. Boufal,"[('yellow-card', ""34'""), ('sub-out', ""62'"")]"
32,J. Wilshere,[],18,H. Reed,"[('sub-out', ""46'"")]"
13,C. Wilson,"[('sub-out', ""64'"")]",23,P. Højbjerg,[]
17,J. King,"[('sub-out', ""72'"")]",9,J. Rodriguez,"[('sub-out', ""90'+"")]"
