"
Arsenal
","
West Bromwich Albion
"
Starting XI
33,P. Čech,[],1,B. Foster,"[('yellow-card', ""83'"")]"
24,Bellerín,[],25,C. Dawson,[]
5,Gabriel Paulista,[],2,A. Nyom,[]
6,L. Koscielny,[],23,G. McAuley,[]
3,K. Gibbs,"[('yellow-card', ""65'""), ('sub-out', ""71'"")]",6,J. Evans,[]
11,M. Özil,[],11,C. Brunt,[]
29,G. Xhaka,[],24,D. Fletcher,[]
34,F. Coquelin,"[('sub-out', ""74'"")]",10,M. Phillips,[]
12,O. Giroud,"[('yellow-card', ""42'"")]",22,N. Chadli,"[('sub-out', ""62'"")]"
7,A. Sánchez,[],5,C. Yacob,[]
17,A. Iwobi,"[('sub-out', ""71'"")]",9,S. Rondón,"[('sub-out', ""80'"")]"
