"
Leicester City
","
Everton
"
Starting XI
1,K. Schmeichel,[],1,Joel Robles,[]
5,W. Morgan,"[('yellow-card', ""90'+"")]",23,S. Coleman,[]
27,M. Wasilewski,[],5,A. Williams,[]
3,B. Chilwell,[],30,M. Holgate,[]
17,D. Simpson,"[('yellow-card', ""79'"")]",3,L. Baines,[]
13,D. Amartey,[],25,Ramiro Funes Mori,[]
22,D. Gray,"[('sub-out', ""65'"")]",17,I. Gueye,[]
10,A. King,"[('sub-out', ""64'"")]",18,G. Barry,"[('sub-out', ""68'"")]"
11,M. Albrighton,[],12,A. Lennon,"[('sub-out', ""88'"")]"
20,S. Okazaki,"[('sub-out', ""46'"")]",11,K. Mirallas,"[('sub-out', ""76'"")]"
19,I. Slimani,[],10,R. Lukaku,[]
