"
Liverpool","
Stoke City
"
Starting XI
22,S. Mignolet,[],33,L. Grant,[]
17,R. Klavan,[],15,B. Martins Indi,[]
6,D. Lovren,[],17,R. Shawcross,[]
2,N. Clyne,[],3,E. Pieters,[]
7,J. Milner,[],8,G. Johnson,[]
14,J. Henderson,[],4,J. Allen,"[('yellow-card', ""36'"")]"
5,G. Wijnaldum,[],21,G. Imbula,[]
20,A. Lallana,"[('sub-out', ""69'"")]",6,G. Whelan,"[('sub-out', ""66'"")]"
19,S. Mané,[],18,M. Diouf,"[('sub-out', ""75'"")]"
11,Roberto Firmino,"[('sub-out', ""79'"")]",25,P. Crouch,"[('sub-out', ""84'"")]"
27,D. Origi,"[('sub-out', ""70'"")]",19,J. Walters,[]
