"
Burnley
","
Southampton
"
Starting XI
1,T. Heaton,[],1,F. Forster,[]
6,B. Mee,[],17,V. van Dijk,[]
5,M. Keane,[],21,R. Bertrand,[]
2,M. Lowton,[],3,M. Yoshida,"[('yellow-card', ""23'"")]"
23,S. Ward,[],2,Cédric Soares,[]
8,D. Marney,"[('yellow-card', ""50'""), ('sub-out', ""73'"")]",16,J. Ward-Prowse,[]
16,S. Defour,"[('sub-out', ""74'"")]",11,D. Tadić,"[('sub-out', ""68'"")]"
21,G. Boyd,[],23,P. Højbjerg,[]
13,J. Hendrick,[],14,Oriol Romeu,"[('yellow-card', ""68'"")]"
7,A. Gray,"[('sub-out', ""87'"")]",22,N. Redmond,"[('sub-out', ""80'"")]"
10,A. Barnes,[],7,S. Long,[]
