"
Hull City
","
AFC Bournemouth
"
Starting XI
16,E. Jakupovic,[],1,A. Boruc,[]
21,M. Dawson,[],15,A. Smith,"[('yellow-card', ""60'"")]"
6,C. Davies,[],3,S. Cook,[]
5,H. Maguire,[],26,T. Mings,[]
3,A. Robertson,[],11,C. Daniels,[]
10,R. Snodgrass,"[('sub-out', ""76'"")]",24,R. Fraser,"[('sub-out', ""55'"")]"
11,S. Clucas,[],8,H. Arter,[]
8,T. Huddlestone,[],32,J. Wilshere,[]
25,R. Mason,"[('sub-out', ""86'"")]",6,A. Surman,[]
9,A. Hernández,"[('sub-out', ""83'"")]",19,J. Stanislas,"[('sub-out', ""69'"")]"
20,A. Diomande,[],9,B. Afobe,"[('sub-out', ""55'"")]"
