"
Watford
","
Middlesbrough
"
Starting XI
1,Gomes,"[('sub-out', ""66'"")]",26,Víctor Valdés,[]
4,Y. Kaboul,[],5,B. Espinosa,[]
3,M. Britos,"[('yellow-card', ""90'+"")]",25,C. Chambers,[]
25,J. Holebas,"[('sub-out', ""89'"")]",6,B. Gibson,[]
5,S. Prödl,[],3,G. Friend,[]
27,C. Kabasele,[],2,Fábio,"[('yellow-card', ""90'+"")]"
16,A. Doucouré,[],14,M. de Roon,[]
11,V. Behrami,"[('sub-out', ""77'"")]",7,G. Leadbitter,[]
29,E. Capoue,[],34,A. Forshaw,[]
33,S. Okaka,"[('yellow-card', ""78'"")]",10,Álvaro Negredo,[]
9,T. Deeney,"[('yellow-card', ""90'+"")]",18,C. Stuani,"[('sub-out', ""65'"")]"
