"
Manchester City
","
Tottenham Hotspur
"
Starting XI
1,C. Bravo,[],1,H. Lloris,[]
5,P. Zabaleta,[],27,K. Wimmer,"[('yellow-card', ""12'""), ('sub-out', ""46'"")]"
30,N. Otamendi,"[('yellow-card', ""52'"")]",2,K. Walker,[]
11,A. Kolarov,"[('yellow-card', ""45'+"")]",3,D. Rose,[]
22,G. Clichy,"[('sub-out', ""84'"")]",4,T. Alderweireld,"[('sub-out', ""65'"")]"
17,K. De Bruyne,[],23,C. Eriksen,[]
19,L. Sané,[],20,D. Alli,"[('yellow-card', ""51'"")]"
42,Y. Touré,[],19,M. Dembélé,"[('sub-out', ""78'"")]"
7,R. Sterling,"[('sub-out', ""82'"")]",12,V. Wanyama,"[('yellow-card', ""87'"")]"
21,David Silva,"[('sub-out', ""90'"")]",15,E. Dier,"[('yellow-card', ""13'"")]"
10,S. Agüero,[],10,H. Kane,[]
