"
Middlesbrough
","
West Ham United
"
Starting XI
26,Víctor Valdés,[],1,D. Randolph,[]
3,G. Friend,[],21,A. Ogbonna,[]
5,B. Espinosa,"[('yellow-card', ""83'"")]",2,W. Reid,[]
6,B. Gibson,"[('yellow-card', ""80'"")]",3,A. Cresswell,[]
25,C. Chambers,[],22,S. Byram,[]
8,A. Clayton,[],10,M. Lanzini,"[('yellow-card', ""6'"")]"
14,M. de Roon,[],30,M. Antonio,[]
34,A. Forshaw,"[('sub-out', ""83'"")]",14,Pedro Obiang,[]
37,Adama Traoré,[],7,S. Feghouli,"[('sub-out', ""83'"")]"
18,C. Stuani,"[('sub-out', ""80'"")]",16,M. Noble,"[('sub-out', ""54'"")]"
10,Álvaro Negredo,[],9,A. Carroll,"[('sub-out', ""67'"")]"
