"
Southampton
","
Leicester City
"
Starting XI
1,F. Forster,[],1,K. Schmeichel,[]
3,M. Yoshida,[],17,D. Simpson,[]
17,V. van Dijk,"[('sub-out', ""55'"")]",28,C. Fuchs,[]
2,Cédric Soares,[],6,R. Huth,[]
21,R. Bertrand,[],5,W. Morgan,"[('yellow-card', ""85'"")]"
14,Oriol Romeu,[],25,W. Ndidi,[]
23,P. Højbjerg,"[('sub-out', ""73'"")]",4,D. Drinkwater,[]
16,J. Ward-Prowse,[],22,D. Gray,[]
22,N. Redmond,[],24,N. Mendy,"[('sub-out', ""46'"")]"
11,D. Tadić,[],20,S. Okazaki,"[('sub-out', ""63'"")]"
9,J. Rodriguez,"[('sub-out', ""80'"")]",9,J. Vardy,[]
