"
West Ham United
","
West Bromwich Albion"
Starting XI
1,D. Randolph,[],1,B. Foster,[]
3,A. Cresswell,"[('sub-out', ""46'"")]",23,G. McAuley,[]
23,José Fonte,[],2,A. Nyom,[]
2,W. Reid,"[('yellow-card', ""85'"")]",25,C. Dawson,[]
7,S. Feghouli,"[('sub-out', ""90'+"")]",11,C. Brunt,"[('yellow-card', ""88'"")]"
14,Pedro Obiang,"[('yellow-card', ""60'"")]",10,M. Phillips,"[('sub-out', ""67'"")]"
30,M. Antonio,[],8,J. Livermore,[]
10,M. Lanzini,[],7,J. Morrison,"[('sub-out', ""79'"")]"
8,C. Kouyaté,[],24,D. Fletcher,[]
11,R. Snodgrass,"[('sub-out', ""87'"")]",22,N. Chadli,"[('sub-out', ""53'"")]"
16,M. Noble,"[('yellow-card', ""90'+"")]",9,S. Rondón,"[('yellow-card', ""73'"")]"
