"
Liverpool
","
Arsenal
"
Starting XI
22,S. Mignolet,[],33,P. Čech,[]
32,J. Matip,[],6,L. Koscielny,[]
2,N. Clyne,[],20,S. Mustafi,[]
17,R. Klavan,[],18,Nacho Monreal,[]
23,E. Can,"[('yellow-card', ""68'"")]",24,Bellerín,[]
10,Philippe Coutinho,"[('sub-out', ""80'"")]",34,F. Coquelin,"[('yellow-card', ""34'""), ('sub-out', ""46'"")]"
20,A. Lallana,"[('sub-out', ""90'+"")]",15,A. Oxlade-Chamberlain,[]
7,J. Milner,[],29,G. Xhaka,"[('yellow-card', ""78'"")]"
5,G. Wijnaldum,[],17,A. Iwobi,[]
19,S. Mané,"[('sub-out', ""90'+"")]",23,D. Welbeck,"[('sub-out', ""74'"")]"
11,Roberto Firmino,[],12,O. Giroud,"[('sub-out', ""74'"")]"
