"
Manchester United
","
AFC Bournemouth
"
Starting XI
1,David de Gea,[],1,A. Boruc,[]
5,M. Rojo,[],15,A. Smith,[]
23,L. Shaw,"[('sub-out', ""70'"")]",3,S. Cook,[]
4,P. Jones,[],26,T. Mings,"[('sub-out', ""78'"")]"
25,A. Valencia,[],11,C. Daniels,[]
16,M. Carrick,"[('yellow-card', ""58'""), ('sub-out', ""70'"")]",8,H. Arter,"[('yellow-card', ""13'"")]"
8,Mata,[],7,M. Pugh,"[('sub-out', ""46'"")]"
6,P. Pogba,[],6,A. Surman,"[('yellow-card', ""33'""), ('sec-yellow-card', ""45'"")]"
9,Z. Ibrahimović,"[('yellow-card', ""39'"")]",24,R. Fraser,[]
10,W. Rooney,"[('sub-out', ""70'"")]",17,J. King,"[('sub-out', ""88'"")]"
11,A. Martial,[],9,B. Afobe,[]
