"
Sunderland","
Manchester City
"
Starting XI
13,J. Pickford,[],13,W. Caballero,[]
2,B. Jones,[],22,G. Clichy,[]
3,B. Oviedo,[],3,B. Sagna,[]
23,L. Koné,[],24,J. Stones,[]
16,J. O'Shea,"[('yellow-card', ""31'"")]",11,A. Kolarov,[]
17,D. Ndong,[],21,David Silva,[]
44,A. Januzaj,"[('sub-out', ""82'"")]",7,R. Sterling,"[('sub-out', ""82'"")]"
24,D. Gibson,"[('sub-out', ""69'"")]",19,L. Sané,"[('sub-out', ""89'"")]"
7,S. Larsson,[],25,Fernandinho,[]
9,F. Borini,[],42,Y. Touré,"[('sub-out', ""78'"")]"
18,J. Defoe,[],10,S. Agüero,[]
