"
Tottenham Hotspur","
Everton
"
Starting XI
1,H. Lloris,[],1,Joel Robles,[]
2,K. Walker,[],25,Ramiro Funes Mori,[]
33,B. Davies,[],5,A. Williams,"[('yellow-card', ""90'+"")]"
4,T. Alderweireld,[],23,S. Coleman,[]
5,J. Vertonghen,[],3,L. Baines,[]
23,C. Eriksen,"[('sub-out', ""87'"")]",18,G. Barry,"[('sub-out', ""64'"")]"
20,D. Alli,[],26,T. Davies,"[('sub-out', ""64'"")]"
15,E. Dier,[],8,R. Barkley,[]
19,M. Dembélé,"[('yellow-card', ""76'""), ('sub-out', ""78'"")]",2,M. Schneiderlin,[]
12,V. Wanyama,[],17,I. Gueye,"[('yellow-card', ""29'""), ('sub-out', ""81'"")]"
10,H. Kane,"[('sub-out', ""90'"")]",10,R. Lukaku,[]
