"
Everton
","
West Bromwich Albion
"
Starting XI
1,Joel Robles,[],1,B. Foster,[]
23,S. Coleman,[],6,J. Evans,[]
6,P. Jagielka,[],23,G. McAuley,[]
5,A. Williams,[],2,A. Nyom,[]
3,L. Baines,"[('sub-out', ""46'"")]",25,C. Dawson,"[('yellow-card', ""88'"")]"
2,M. Schneiderlin,[],8,J. Livermore,[]
18,G. Barry,"[('yellow-card', ""81'""), ('sub-out', ""84'"")]",5,C. Yacob,"[('yellow-card', ""73'""), ('sub-out', ""79'"")]"
8,R. Barkley,[],14,J. McClean,"[('sub-out', ""75'"")]"
26,T. Davies,[],4,H. Robson-Kanu,"[('sub-out', ""76'"")]"
11,K. Mirallas,"[('sub-out', ""71'"")]",24,D. Fletcher,[]
10,R. Lukaku,[],22,N. Chadli,[]
