"
Stoke City
","
Hull City
"
Starting XI
33,L. Grant,[],16,E. Jakupovic,[]
5,Muniesa,[],5,H. Maguire,[]
17,R. Shawcross,[],13,A. Ranocchia,[]
15,B. Martins Indi,[],21,M. Dawson,[]
20,G. Cameron,[],3,A. Robertson,[]
8,G. Johnson,[],10,A. N'Diaye,[]
3,E. Pieters,[],8,T. Huddlestone,"[('sub-out', ""70'"")]"
16,C. Adam,"[('sub-out', ""58'"")]",50,L. Marković,"[('yellow-card', ""70'""), ('sub-out', ""86'"")]"
22,X. Shaqiri,"[('sub-out', ""88'"")]",11,S. Clucas,[]
9,S. Berahino,"[('sub-out', ""58'"")]",17,K. Grosicki,[]
10,M. Arnautović,[],24,O. Niasse,"[('yellow-card', ""45'""), ('sub-out', ""86'"")]"
