"
RB Leipzig","
Schalke 04"
Starting XI
32,P. Gulácsi,[],1,R. Fährmann,"[('yellow-card', ""1'"")]"
4,W. Orban,[],29,Naldo,[]
20,B. Schmitz,"[('sub-out', ""23'"")]",31,M. Nastasić,"[('yellow-card', ""39'"")]"
23,M. Halstenberg,"[('yellow-card', ""73'"")]",6,S. Kolašinac,[]
8,N. Keïta,[],4,B. Höwedes,"[('yellow-card', ""51'"")]"
7,M. Sabitzer,[],7,M. Meyer,[]
31,D. Demme,[],5,J. Geis,"[('sub-out', ""86'"")]"
13,S. Ilsanker,[],10,N. Bentaleb,"[('yellow-card', ""80'""), ('sub-out', ""81'"")]"
10,E. Forsberg,"[('sub-out', ""90'+"")]",21,A. Schöpf,"[('yellow-card', ""49'""), ('sub-out', ""86'"")]"
9,Y. Poulsen,[],8,L. Goretzka,[]
11,T. Werner,"[('sub-out', ""83'"")]",13,E. Choupo-Moting,[]
